"Показник","Територіальний розріз","Категорія розрізу","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Витрати на наукові дослідження і розробки","Україна","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","20973775.2","17117836.2","21348062.6","28328170.6",""
"Витрати на наукові дослідження і розробки","Україна","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","17254629.7","17022419.3","20973775.2","17117836.2","21348062.6","28328170.6",""
"Витрати на наукові дослідження і розробки","Україна","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","","","","17254629.7","17022419.3","","17117836.2","21348062.6","28328170.6",""
"Витрати на наукові дослідження і розробки","Україна","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","13379292.4","16773724.5","17254629.7","17022419.3","20973775.2","17117836.2","21348062.6","28328170.6",""
"Витрати на наукові дослідження і розробки","Вінницька","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","39618.3","50756.2","","","","",""
"Витрати на наукові дослідження і розробки","Волинська","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","9948.3","9994.2","11303.4","10700","8743","11059.4",""
"Витрати на наукові дослідження і розробки","Україна","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","13379292.4","16773724.5","17254629.7","17022419.3","20973775.2","17299525.9","22706834.3","28507986.6","34653554.4"
"Витрати на наукові дослідження і розробки","Волинська","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","11303.4","10700","8743","11059.4",""
"Витрати на наукові дослідження і розробки","Волинська","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","9948.3","9994.2","","","","",""
"Витрати на наукові дослідження і розробки","Автономна Республіка Крим","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Інформація відсутня.","","","","","","","","","",""
"Витрати на наукові дослідження і розробки","Автономна Республіка Крим","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Інформація відсутня.","","","","","","","","","",""
"Витрати на наукові дослідження і розробки","Вінницька","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","39473.3","44803","49056.2","39618.3","50756.2","67545.9","76777.3","80908.3","120454.5","142229.4"
"Витрати на наукові дослідження і розробки","Вінницька","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","39618.3","50756.2","67545.9","76777.3","80908.3","120454.5",""
